filename,label,kind
Js_2024052312.png,japan_sea_low|nankigan_low|stationary_front,needs_judgement
Js_2024061600.png,japan_sea_low|nankigan_low|stationary_front,needs_judgement
Js_2024061712.png,japan_sea_low|nankigan_low|stationary_front,needs_judgement
Js_2024083100.png,front_passage|japan_sea_low|nankigan_low,needs_judgement
Js_2025042000.png,japan_sea_low|nankigan_low,needs_judgement
Js_2026021012.png,japan_sea_low|nankigan_low,needs_judgement
Js_2023021312.png,japan_sea_low|nankigan_low,needs_judgement
Js_2023022412.png,front_passage|japan_sea_low|nankigan_low,needs_judgement
Js_2023122000.png,japan_sea_low|nankigan_low,needs_judgement
Js_2024013112.png,front_passage|japan_sea_low|nankigan_low|stationary_front,needs_judgement
Js_2024030800.png,japan_sea_low|nankigan_low,needs_judgement
Js_2024030812.png,japan_sea_low|nankigan_low,needs_judgement
Js_2024041700.png,japan_sea_low|nankigan_low|stationary_front,needs_judgement
