filename,answer
Js_2024070100.png,yes
Js_2024070112.png,yes
Js_2024070200.png,yes
Js_2024070212.png,yes
Js_2024070300.png,yes
Js_2024070312.png,yes
Js_2024070400.png,no
Js_2024070412.png,no
Js_2024070500.png,no
Js_2024070512.png,no
Js_2024070600.png,no
Js_2024070612.png,no
Js_2024070700.png,no
Js_2024070712.png,yes
Js_2024070800.png,yes
Js_2024070812.png,yes
Js_2024070900.png,yes
Js_2024070912.png,yes
Js_2024071000.png,yes
Js_2024071012.png,yes
Js_2024071100.png,yes
Js_2024071112.png,yes
Js_2024071200.png,yes
Js_2024071212.png,yes
Js_2024071300.png,yes
Js_2024071312.png,yes
Js_2024071400.png,yes
Js_2024071412.png,yes
Js_2024071500.png,yes
Js_2024071512.png,yes
Js_2024071600.png,yes
Js_2024071612.png,yes
Js_2024071700.png,yes
Js_2024071712.png,yes
Js_2024071800.png,yes
Js_2024071812.png,yes
Js_2024071900.png,yes
Js_2024071912.png,yes
Js_2024072000.png,yes
Js_2024072012.png,no
Js_2024072100.png,yes
Js_2024072112.png,no
Js_2024072200.png,yes
Js_2024072212.png,no
Js_2024072300.png,yes
Js_2024072312.png,yes
Js_2024072400.png,yes
Js_2024072412.png,yes
Js_2024072500.png,yes
Js_2024072512.png,yes
Js_2024072600.png,yes
Js_2024072612.png,yes
Js_2024072700.png,yes
Js_2024072712.png,yes
Js_2024072800.png,yes
Js_2024072812.png,yes
Js_2024072900.png,no
Js_2024072912.png,no
Js_2024073000.png,no
Js_2024073012.png,yes
Js_2024073100.png,no
Js_2024073112.png,no
