filename,answer
Js_2024090100.png,no
Js_2024090112.png,no
Js_2024090200.png,no
Js_2024090212.png,no
Js_2024090300.png,no
Js_2024090312.png,no
Js_2024090400.png,no
Js_2024090412.png,no
Js_2024090500.png,yes
Js_2024090512.png,yes
Js_2024090600.png,yes
Js_2024090612.png,no
Js_2024090700.png,no
Js_2024090712.png,no
Js_2024090800.png,no
Js_2024090812.png,no
Js_2024090900.png,no
Js_2024090912.png,no
Js_2024091000.png,no
Js_2024091012.png,no
Js_2024091100.png,no
Js_2024091112.png,no
Js_2024091200.png,no
Js_2024091212.png,no
Js_2024091300.png,yes
Js_2024091312.png,yes
Js_2024091400.png,yes
Js_2024091412.png,yes
Js_2024091500.png,yes
Js_2024091512.png,yes
Js_2024091600.png,yes
Js_2024091612.png,yes
Js_2024091700.png,yes
Js_2024091712.png,yes
Js_2024091800.png,yes
Js_2024091812.png,yes
Js_2024091900.png,yes
Js_2024091912.png,yes
Js_2024092000.png,yes
Js_2024092012.png,yes
Js_2024092100.png,yes
Js_2024092112.png,no
Js_2024092200.png,no
Js_2024092212.png,no
Js_2024092300.png,no
Js_2024092312.png,no
Js_2024092400.png,no
Js_2024092412.png,yes
Js_2024092500.png,yes
Js_2024092512.png,yes
Js_2024092600.png,yes
Js_2024092612.png,no
Js_2024092700.png,no
Js_2024092712.png,no
Js_2024092800.png,yes
Js_2024092812.png,yes
Js_2024092900.png,yes
Js_2024092912.png,yes
Js_2024093000.png,yes
Js_2024093012.png,yes
