filename,answer
Js_2025040100.png,no
Js_2025040112.png,no
Js_2025040200.png,no
Js_2025040212.png,no
Js_2025040300.png,no
Js_2025040312.png,no
Js_2025040400.png,no
Js_2025040412.png,no
Js_2025040500.png,no
Js_2025040512.png,no
Js_2025040600.png,no
Js_2025040612.png,no
Js_2025040700.png,no
Js_2025040712.png,no
Js_2025040800.png,no
Js_2025040812.png,no
Js_2025040900.png,no
Js_2025040912.png,no
Js_2025041000.png,yes
Js_2025041012.png,yes
Js_2025041100.png,no
Js_2025041112.png,no
Js_2025041200.png,no
Js_2025041212.png,no
Js_2025041300.png,no
Js_2025041312.png,no
Js_2025041400.png,no
Js_2025041412.png,no
Js_2025041500.png,no
Js_2025041512.png,no
Js_2025041600.png,no
Js_2025041612.png,no
Js_2025041700.png,no
Js_2025041712.png,yes
Js_2025041800.png,yes
Js_2025041812.png,no
Js_2025041900.png,no
Js_2025041912.png,yes
Js_2025042000.png,yes
Js_2025042012.png,yes
Js_2025042100.png,no
Js_2025042112.png,no
Js_2025042200.png,yes
Js_2025042212.png,yes
Js_2025042300.png,no
Js_2025042312.png,no
Js_2025042400.png,no
Js_2025042412.png,no
Js_2025042500.png,no
Js_2025042512.png,yes
Js_2025042600.png,no
Js_2025042612.png,no
Js_2025042700.png,yes
Js_2025042712.png,no
Js_2025042800.png,no
Js_2025042812.png,no
Js_2025042900.png,no
Js_2025042912.png,no
Js_2025043000.png,no
Js_2025043012.png,no
Js_2025070100.png,no
Js_2025070112.png,no
Js_2025070200.png,no
Js_2025070212.png,no
Js_2025070300.png,no
Js_2025070312.png,no
Js_2025070400.png,no
Js_2025070412.png,no
Js_2025070500.png,no
Js_2025070512.png,no
Js_2025070600.png,no
Js_2025070612.png,no
Js_2025070700.png,no
Js_2025070712.png,no
Js_2025070800.png,yes
Js_2025070812.png,yes
Js_2025070900.png,yes
Js_2025070912.png,yes
Js_2025071000.png,yes
Js_2025071012.png,yes
Js_2025071100.png,yes
Js_2025071112.png,yes
Js_2025071200.png,no
Js_2025071212.png,no
Js_2025071300.png,no
Js_2025071312.png,no
Js_2025071400.png,no
Js_2025071412.png,yes
Js_2025071500.png,yes
Js_2025071512.png,yes
Js_2025071600.png,yes
Js_2025071612.png,no
Js_2025071700.png,no
Js_2025071712.png,yes
Js_2025071800.png,yes
Js_2025071812.png,yes
Js_2025071900.png,yes
Js_2025071912.png,yes
Js_2025072000.png,yes
Js_2025072012.png,no
Js_2025072100.png,no
Js_2025072112.png,no
Js_2025072200.png,no
Js_2025072212.png,no
Js_2025072300.png,no
Js_2025072312.png,no
Js_2025072400.png,no
Js_2025072412.png,no
Js_2025072500.png,no
Js_2025072512.png,no
Js_2025072600.png,no
Js_2025072612.png,no
Js_2025072700.png,no
Js_2025072712.png,no
Js_2025072800.png,no
Js_2025072812.png,no
Js_2025072900.png,no
Js_2025072912.png,no
Js_2025073000.png,no
Js_2025073012.png,no
Js_2025073100.png,no
Js_2025073112.png,no
